ID,description,endDate,function,name,sourceRecordLink,startDate,type,warning
UNSW_concepts_1,Please visit the 'original record' link to learn more about the Colombo Plan scheme students of UNSW.,,,Colombo Plan Students,https://tinyurl.com/colombo-plan-students-UNSW,,,
UNSW_concepts_2,Please visit the 'original record' link to learn more about the Privately Funded International Students of UNSW.,,,Privately Funded International Students,https://tinyurl.com/pfis-UNSW,,,
